Date,Price,Open,High,Low,Vol.,Change %
13-Sep-17,"1,323.40","1,323.40","1,323.40","1,323.40",1.78K,-0.35%
12-Sep-17,"1,328.00","1,327.00","1,327.00","1,325.20",0.02K,-0.23%
11-Sep-17,"1,331.00","1,330.00","1,330.00","1,327.30",0.01K,-1.11%
8-Sep-17,"1,346.00","1,351.00","1,355.80","1,345.60",0.04K,0.07%
7-Sep-17,"1,345.10","1,336.40","1,349.00","1,336.40",0.03K,0.84%
6-Sep-17,"1,333.90","1,340.00","1,340.30","1,332.60",0.02K,-0.40%
5-Sep-17,"1,339.20","1,335.20","1,337.00","1,328.60",0.07K,0.08%
4-Sep-17,"1,338.08","1,341.21","1,344.59","1,337.01",-,-0.23%
3-Sep-17,"1,341.22","1,340.54","1,342.07","1,338.96",-,1.26%
1-Sep-17,"1,324.50","1,320.20","1,327.70","1,316.90",0.04K,0.63%
31-Aug-17,"1,316.20","1,306.60","1,322.30","1,301.70",0.31K,0.62%
30-Aug-17,"1,308.10","1,308.20","1,312.50","1,304.90",0.37K,-0.38%
29-Aug-17,"1,313.10","1,318.80","1,323.80","1,314.00",0.30K,0.26%
28-Aug-17,"1,309.70","1,293.50","1,311.30","1,293.50",0.15K,1.33%
25-Aug-17,"1,292.50","1,285.40","1,292.70","1,280.30",0.28K,0.47%
24-Aug-17,"1,286.50","1,288.70","1,288.70","1,284.00",0.55K,-0.19%
23-Aug-17,"1,288.90","1,289.40","1,289.40","1,286.90",0.25K,0.30%
22-Aug-17,"1,285.10","1,287.20","1,288.40","1,283.20",0.10K,-0.44%
21-Aug-17,"1,290.80","1,285.20","1,290.80","1,284.70",0.02K,0.40%
18-Aug-17,"1,285.70","1,288.60","1,300.70","1,284.30",0.36K,-0.05%
17-Aug-17,"1,286.40","1,283.80","1,288.50","1,283.20",0.04K,0.74%
16-Aug-17,"1,276.90","1,271.30","1,282.60","1,269.40",0.11K,0.25%
15-Aug-17,"1,273.70","1,280.50","1,280.50","1,267.40",0.19K,-0.82%
14-Aug-17,"1,284.20","1,288.40","1,288.40","1,278.80",0.34K,-0.27%
11-Aug-17,"1,287.70","1,286.30","1,291.10","1,282.00",0.14K,0.31%
10-Aug-17,"1,283.70","1,276.60","1,287.40","1,274.90",0.61K,0.84%
9-Aug-17,"1,273.00","1,260.20","1,277.80","1,260.20",0.57K,1.32%
8-Aug-17,"1,256.40","1,256.90","1,264.10","1,251.40",0.56K,-0.14%
7-Aug-17,"1,258.20","1,258.70","1,259.10","1,255.30",0.26K,-0.01%
4-Aug-17,"1,258.30","1,269.00","1,269.60","1,253.90",0.52K,-0.75%
3-Aug-17,"1,267.80","1,265.90","1,269.80","1,256.60",0.88K,-0.31%
2-Aug-17,"1,271.80","1,268.50","1,272.10","1,262.90",0.39K,-0.06%
1-Aug-17,"1,272.60","1,268.40","1,273.30","1,262.00",1.06K,0.47%
31-Jul-17,"1,266.60","1,268.90","1,270.80","1,265.80",7.78K,-0.14%
28-Jul-17,"1,268.40","1,258.40","1,270.00","1,256.90",64.18K,0.70%
27-Jul-17,"1,259.60","1,259.60","1,259.60","1,259.60",0.11K,0.85%
26-Jul-17,"1,249.00","1,244.80","1,247.40","1,244.80",0.01K,-0.22%
25-Jul-17,"1,251.70","1,252.70","1,253.60","1,249.20",0.02K,-0.18%
24-Jul-17,"1,253.90","1,256.00","1,256.00","1,254.10",0.01K,-0.03%
21-Jul-17,"1,254.30","1,250.70","1,251.10","1,250.50",0.02K,0.76%
20-Jul-17,"1,244.80","1,236.60","1,236.80","1,236.60",0.01K,0.29%
19-Jul-17,"1,241.20","1,240.40","1,240.40","1,240.10",0.00K,0.01%
18-Jul-17,"1,241.10","1,236.20","1,241.20","1,236.20",0.03K,0.67%
17-Jul-17,"1,232.80","1,229.90","1,233.40","1,229.90",0.01K,0.51%
14-Jul-17,"1,226.60","1,214.90","1,227.50","1,214.80",0.02K,0.85%
13-Jul-17,"1,216.30","1,221.40","1,221.40","1,216.50",0.01K,-0.15%
12-Jul-17,"1,218.10","1,218.30","1,219.40","1,217.90",0.01K,0.37%
11-Jul-17,"1,213.60","1,208.70","1,214.90","1,208.70",0.01K,0.12%
10-Jul-17,"1,212.10","1,211.40","1,212.00","1,209.60",0.03K,0.29%
7-Jul-17,"1,208.60","1,219.10","1,220.40","1,213.20",0.12K,-1.11%
6-Jul-17,"1,222.20","1,225.10","1,225.10","1,222.40",0.01K,0.15%
5-Jul-17,"1,220.40","1,222.50","1,225.00","1,217.10",0.04K,-0.58%
4-Jul-17,"1,227.55","1,224.30","1,228.03","1,221.49",-,0.79%
3-Jul-17,"1,217.90","1,236.00","1,236.00","1,218.30",0.03K,-1.84%
30-Jun-17,"1,240.70","1,243.70","1,243.70","1,239.10",0.04K,-0.28%
29-Jun-17,"1,244.20","1,248.20","1,250.70","1,238.10",0.54K,-0.30%
28-Jun-17,"1,248.00","1,248.50","1,248.50","1,248.50",0.01K,0.13%
27-Jun-17,"1,246.40","1,251.60","1,251.80","1,245.90",0.11K,0.01%
26-Jun-17,"1,246.30","1,260.20","1,260.20","1,241.60",0.19K,-0.79%
