Date,Price,Open,High,Low,Vol.,Change %
10-Nov-17,16.844,17,17,17,0.00K,-0.58%
9-Nov-17,16.943,16.93,16.93,16.93,0.00K,-0.95%
8-Nov-17,17.106,17.106,17.106,17.106,0.01K,1.19%
7-Nov-17,16.905,16.925,16.925,16.925,0.00K,-1.69%
6-Nov-17,17.195,17.205,17.225,17.205,0.01K,1.98%
5-Nov-17,16.861,16.851,16.869,16.816,-,0.40%
3-Nov-17,16.794,17.105,17.105,16.79,0.01K,-1.75%
2-Nov-17,17.094,17.065,17.065,17.06,0.02K,-0.22%
1-Nov-17,17.132,16.99,17.06,16.99,0.03K,2.93%
31-Oct-17,16.645,16.795,16.795,16.65,0.30K,-0.93%
30-Oct-17,16.802,16.715,16.845,16.715,0.12K,-0.21%
29-Oct-17,16.838,16.861,16.861,16.817,-,0.81%
27-Oct-17,16.702,16.702,16.702,16.702,0.00K,-0.37%
26-Oct-17,16.764,16.764,16.764,16.764,0.06K,-0.62%
25-Oct-17,16.868,16.868,16.868,16.868,0.03K,-0.23%
24-Oct-17,16.907,16.89,16.945,16.89,0.06K,-0.69%
23-Oct-17,17.024,16.92,16.92,16.87,0.02K,0.16%
22-Oct-17,16.996,17.044,17.044,16.979,-,-0.15%
20-Oct-17,17.022,17.17,17.17,16.99,0.02K,-1.04%
19-Oct-17,17.201,16.99,17.22,16.99,0.01K,1.52%
18-Oct-17,16.943,16.943,16.943,16.943,0.01K,-0.26%
17-Oct-17,16.987,17,17.01,17,0.06K,-1.89%
16-Oct-17,17.315,17.42,17.43,17.28,0.03K,-0.76%
15-Oct-17,17.447,17.421,17.449,17.403,-,0.53%
13-Oct-17,17.355,17.215,17.38,17.215,0.07K,0.84%
12-Oct-17,17.211,17.205,17.22,17.205,0.04K,0.76%
11-Oct-17,17.081,17.145,17.2,17.065,0.05K,-0.43%
10-Oct-17,17.155,16.935,17.165,16.925,0.03K,1.41%
9-Oct-17,16.916,16.865,16.93,16.865,0.00K,0.48%
8-Oct-17,16.835,16.817,16.862,16.812,-,0.60%
6-Oct-17,16.734,16.59,16.71,16.43,0.02K,0.92%
5-Oct-17,16.582,16.65,16.71,16.62,0.02K,0.11%
4-Oct-17,16.563,16.645,16.82,16.515,0.05K,-0.11%
3-Oct-17,16.581,16.53,16.585,16.53,0.04K,-0.02%
2-Oct-17,16.585,16.595,16.635,16.525,0.02K,-0.35%
1-Oct-17,16.644,16.66,16.67,16.621,-,0.22%
29-Sep-17,16.607,16.81,16.81,16.715,0.02K,-0.99%
28-Sep-17,16.773,16.75,16.83,16.655,0.18K,0.15%
27-Sep-17,16.748,16.7,16.815,16.695,0.04K,-0.33%
26-Sep-17,16.804,16.875,16.89,16.775,0.11K,-1.49%
25-Sep-17,17.059,16.85,17.09,16.81,0.17K,0.60%
24-Sep-17,16.957,17.033,17.033,16.931,-,0.32%
22-Sep-17,16.903,16.985,16.985,16.905,0.09K,-0.20%
21-Sep-17,16.937,16.895,16.92,16.8,0.21K,-1.82%
20-Sep-17,17.251,17.255,17.34,17.01,0.09K,0.33%
19-Sep-17,17.195,17.135,17.24,17.115,0.16K,0.73%
18-Sep-17,17.071,17.49,17.52,17.03,0.21K,-3.02%
17-Sep-17,17.602,17.663,17.663,17.59,-,-0.05%
15-Sep-17,17.611,17.76,17.8,17.55,0.24K,-0.49%
14-Sep-17,17.698,17.65,17.76,17.58,0.28K,-0.42%
13-Sep-17,17.772,17.86,17.91,17.635,0.43K,-0.13%
12-Sep-17,17.795,17.78,17.87,17.705,0.36K,-0.07%
11-Sep-17,17.807,17.89,17.89,17.695,0.40K,-0.69%
10-Sep-17,17.93,17.859,17.953,17.828,-,-0.54%
8-Sep-17,18.027,18.09,18.16,17.915,0.36K,0.06%
7-Sep-17,18.016,17.84,18.105,17.795,0.81K,1.12%
6-Sep-17,17.816,17.915,17.97,17.8,0.31K,-0.16%
5-Sep-17,17.845,17.78,17.98,17.775,0.95K,-0.39%
4-Sep-17,17.914,17.929,18.025,17.865,-,-0.11%
3-Sep-17,17.934,17.895,17.957,17.873,-,1.21%
1-Sep-17,17.719,17.565,17.72,17.445,0.54K,1.37%
31-Aug-17,17.48,17.42,17.6,17.255,1.47K,0.44%
30-Aug-17,17.404,17.39,17.46,17.285,21.20K,-0.10%
29-Aug-17,17.422,17.422,17.422,17.422,0.00K,-0.05%
28-Aug-17,17.431,17.431,17.431,17.431,99.64K,2.28%
27-Aug-17,17.042,17.069,17.216,17.04,-,0.02%
25-Aug-17,17.038,17.038,17.038,17.038,0.07K,0.51%
24-Aug-17,16.952,17.055,17.06,17.055,0.05K,-0.47%
23-Aug-17,17.032,17.032,17.032,17.032,0.04K,0.41%
22-Aug-17,16.962,16.962,16.962,16.962,0.02K,-0.19%
21-Aug-17,16.995,16.995,16.995,16.995,0.02K,0.59%
20-Aug-17,16.896,16.939,16.944,16.829,-,-0.49%
18-Aug-17,16.98,16.98,16.98,16.98,0.03K,-0.29%
17-Aug-17,17.03,17.13,17.13,16.99,0.06K,0.67%
16-Aug-17,16.917,16.695,17.065,16.695,0.03K,1.36%
15-Aug-17,16.69,16.69,16.69,16.69,0.02K,-2.36%
14-Aug-17,17.093,17.055,17.115,16.99,0.06K,0.10%
13-Aug-17,17.076,17.104,17.11,17.064,-,0.21%
11-Aug-17,17.041,17.095,17.105,17.02,0.05K,0.03%
10-Aug-17,17.036,16.945,17.21,16.945,0.17K,1.20%
9-Aug-17,16.834,16.505,16.85,16.475,0.09K,2.90%
